time,ask qty,bid qty,bid price,ask price
90001,4,488,899000.0,900000.0
90009,87,548,899000.0,900000.0
90013,87,548,899000.0,900000.0
90019,182,80,899000.0,900000.0
90030,276,356,898000.0,899000.0
90032,552,712,898000.0,899000.0
90034,53,402,897000.0,898000.0
90040,197,817,899000.0,900000.0
90042,167,288,899000.0,900000.0
90045,397,96,899000.0,900000.0
90103,34,524,897000.0,898000.0
90109,525,354,897000.0,898000.0
90115,517,596,897000.0,898000.0
90117,669,311,897000.0,898000.0
90120,669,311,897000.0,898000.0
90121,81,82,896000.0,897000.0
90132,27,61,896000.0,897000.0
90142,29,251,896000.0,897000.0
90200,33,135,896000.0,897000.0
90213,78,155,896000.0,897000.0
90218,83,148,896000.0,897000.0
90225,396,218,895000.0,896000.0
90227,155,219,895000.0,896000.0
90231,43,574,896000.0,897000.0
90232,86,1148,896000.0,897000.0
90242,343,116,894000.0,895000.0
90247,255,340,893000.0,894000.0
90252,719,152,893000.0,894000.0
90253,719,152,893000.0,894000.0
90256,29,60,892000.0,893000.0
90304,873,723,891000.0,892000.0
90307,233,571,891000.0,892000.0
90316,528,788,890000.0,891000.0
90321,11,320,890000.0,891000.0
90328,44,294,891000.0,892000.0
90341,65,369,892000.0,893000.0
90348,19,131,894000.0,896000.0
90417,225,237,894000.0,895000.0
90420,137,137,893000.0,894000.0
90422,307,149,893000.0,894000.0
90425,307,149,893000.0,894000.0
90426,19,392,894000.0,895000.0
90428,19,392,894000.0,895000.0
90435,565,42,893000.0,894000.0
90438,164,1156,892000.0,893000.0
90443,141,490,892000.0,893000.0
90450,214,485,892000.0,893000.0
90501,398,618,892000.0,893000.0
90509,349,654,892000.0,893000.0
90518,248,706,892000.0,893000.0
90519,248,706,892000.0,893000.0
90520,293,42,893000.0,894000.0
90526,154,144,893000.0,894000.0
90559,639,342,893000.0,894000.0
90604,609,333,893000.0,894000.0
90610,95,806,892000.0,893000.0
90613,269,759,892000.0,893000.0
90622,308,657,892000.0,893000.0
90625,758,523,892000.0,893000.0
90627,652,481,892000.0,893000.0
90628,652,481,892000.0,893000.0
90647,1650,778,891000.0,892000.0
90653,400,1839,890000.0,891000.0
90656,299,1852,890000.0,891000.0
90708,351,1854,890000.0,891000.0
90712,760,1309,890000.0,891000.0
90715,760,1309,890000.0,891000.0
90716,1034,1139,890000.0,891000.0
90720,1105,659,890000.0,891000.0
90722,1105,659,890000.0,891000.0
90724,863,709,890000.0,891000.0
90735,406,117,891000.0,892000.0
90742,59,1249,892000.0,893000.0
90803,31,95,893000.0,894000.0
90812,17,107,894000.0,895000.0
90814,28,119,893000.0,895000.0
90831,92,978,892000.0,893000.0
90849,8,50,893000.0,894000.0
90919,78,13,894000.0,895000.0
91001,90,96,894000.0,895000.0
91022,348,2557,893000.0,894000.0
91027,169,2515,893000.0,894000.0
91031,159,2528,893000.0,894000.0
91052,39,135,894000.0,895000.0
91103,216,2518,893000.0,894000.0
91113,107,2704,893000.0,894000.0
91120,41,291,894000.0,895000.0
91134,622,2776,893000.0,894000.0
91139,476,2770,893000.0,894000.0
91151,4,2763,893000.0,894000.0
91202,14,2640,893000.0,894000.0
91219,50,417,894000.0,895000.0
91226,6,1046,894000.0,895000.0
91256,87,167,895000.0,896000.0
91257,87,167,895000.0,896000.0
91311,178,915,894000.0,897000.0
91338,35,130,895000.0,896000.0
91340,181,1037,894000.0,895000.0
91344,94,1014,894000.0,895000.0
91351,27,528,895000.0,896000.0
91355,477,378,895000.0,896000.0
91406,454,646,894000.0,895000.0
91412,838,737,894000.0,895000.0
91415,357,843,894000.0,895000.0
91418,357,843,894000.0,895000.0
91419,366,673,894000.0,895000.0
91424,158,614,894000.0,895000.0
91425,158,614,894000.0,895000.0
91436,201,537,894000.0,895000.0
91437,201,537,894000.0,895000.0
91438,350,40,894000.0,895000.0
91442,1202,2643,893000.0,894000.0
91443,1202,2643,893000.0,894000.0
91451,1702,2649,893000.0,894000.0
91506,1314,2452,893000.0,894000.0
91507,2628,4904,893000.0,894000.0
91508,1314,2452,893000.0,894000.0
91510,522,1971,893000.0,894000.0
91520,364,1968,893000.0,894000.0
91605,930,171,895000.0,896000.0
91621,977,205,895000.0,896000.0
91638,749,192,895000.0,896000.0
91707,726,2422,895000.0,896000.0
91715,655,2375,895000.0,896000.0
91720,343,2373,895000.0,896000.0
91724,343,1000,895000.0,896000.0
91730,298,918,895000.0,896000.0
91731,298,918,895000.0,896000.0
91734,308,444,895000.0,896000.0
91820,336,279,895000.0,896000.0
91841,395,329,895000.0,896000.0
91917,153,455,894000.0,895000.0
91942,322,756,895000.0,896000.0
92018,380,952,895000.0,896000.0
92025,385,944,895000.0,896000.0
92033,893,476,895000.0,896000.0
92045,455,609,894000.0,895000.0
92053,552,550,894000.0,895000.0
92114,479,546,894000.0,895000.0
92123,434,343,894000.0,895000.0
92128,111,2285,893000.0,894000.0
92142,123,2044,893000.0,894000.0
92217,1078,1629,893000.0,894000.0
92224,1089,1358,893000.0,894000.0
92305,1159,1161,893000.0,894000.0
92310,1170,711,893000.0,894000.0
92312,714,220,893000.0,894000.0
92319,695,52,893000.0,894000.0
92323,421,418,892000.0,893000.0
92329,465,375,892000.0,893000.0
92357,628,154,892000.0,893000.0
92426,606,213,892000.0,893000.0
92429,635,186,892000.0,893000.0
92444,920,990,891000.0,892000.0
92504,628,1045,891000.0,892000.0
92510,507,1009,891000.0,892000.0
92528,541,1059,891000.0,892000.0
92539,414,1074,891000.0,892000.0
92546,373,972,891000.0,892000.0
92556,366,1074,891000.0,892000.0
92633,367,1064,891000.0,892000.0
92652,274,1104,891000.0,892000.0
92655,274,1079,891000.0,892000.0
92709,171,1054,891000.0,892000.0
92728,307,125,892000.0,893000.0
92730,307,111,892000.0,893000.0
92731,25,1001,891000.0,892000.0
92744,189,963,891000.0,892000.0
92746,154,976,891000.0,892000.0
92758,276,714,891000.0,892000.0
92810,1572,201,891000.0,892000.0
92816,1814,8630,890000.0,891000.0
92826,1108,3897,890000.0,891000.0
92827,1108,3897,890000.0,891000.0
92829,982,2426,890000.0,891000.0
92833,142,2057,890000.0,891000.0
92835,142,2057,890000.0,891000.0
92841,139,1830,890000.0,891000.0
92845,918,146,891000.0,892000.0
92846,893,1823,890000.0,892000.0
92848,893,1823,890000.0,892000.0
92901,464,1599,890000.0,891000.0
92903,464,1599,890000.0,891000.0
92904,477,1366,890000.0,891000.0
92913,516,1248,890000.0,891000.0
92925,433,1201,890000.0,891000.0
92929,618,792,890000.0,891000.0
92939,517,904,890000.0,891000.0
92942,766,911,890000.0,891000.0
92943,766,911,890000.0,891000.0
92954,894,615,890000.0,891000.0
92955,894,615,890000.0,891000.0
92958,730,487,890000.0,891000.0
93009,735,267,890000.0,891000.0
93023,605,329,890000.0,891000.0
93026,578,328,890000.0,891000.0
93029,578,167,890000.0,891000.0
93127,607,157,890000.0,891000.0
93138,571,55,890000.0,891000.0
93146,34,1680,889000.0,890000.0
93208,120,1670,889000.0,890000.0
93223,18,1597,889000.0,890000.0
93254,397,99,890000.0,891000.0
93331,635,1936,889000.0,890000.0
93346,578,1967,889000.0,890000.0
93348,578,1967,889000.0,890000.0
93410,456,1965,889000.0,890000.0
93427,386,1983,889000.0,890000.0
93429,391,1484,889000.0,890000.0
93450,205,1666,889000.0,890000.0
93455,176,1661,889000.0,890000.0
93506,300,1051,890000.0,891000.0
93525,226,1169,890000.0,891000.0
93542,106,1187,890000.0,891000.0
93549,918,67,891000.0,892000.0
93559,926,77,891000.0,892000.0
93653,960,1271,891000.0,892000.0
93656,824,1271,891000.0,892000.0
93702,655,1331,891000.0,892000.0
93736,638,1449,891000.0,892000.0
93748,608,1341,891000.0,892000.0
93803,214,364,892000.0,893000.0
93806,214,326,892000.0,893000.0
93814,214,265,892000.0,893000.0
93829,132,219,892000.0,893000.0
93830,132,219,892000.0,893000.0
93859,28,855,892000.0,893000.0
93911,14,861,892000.0,893000.0
93930,360,127,893000.0,894000.0
94006,366,168,893000.0,894000.0
94008,385,115,893000.0,894000.0
94111,814,924,892000.0,893000.0
94208,815,1124,892000.0,893000.0
94219,813,1177,892000.0,893000.0
94221,817,1177,892000.0,893000.0
94222,817,1177,892000.0,893000.0
94223,821,322,892000.0,893000.0
94253,335,2018,891000.0,892000.0
94321,383,2010,891000.0,892000.0
94440,405,2173,891000.0,892000.0
94507,397,2149,891000.0,892000.0
94520,351,2115,891000.0,892000.0
94524,282,2095,891000.0,892000.0
94525,564,4190,891000.0,892000.0
94526,572,3034,891000.0,892000.0
94603,381,1101,891000.0,892000.0
94626,244,1355,891000.0,892000.0
94636,206,1315,891000.0,892000.0
94654,198,1309,891000.0,892000.0
94656,198,1309,891000.0,892000.0
94748,276,402,891000.0,892000.0
94832,223,481,891000.0,892000.0
94845,85,421,891000.0,892000.0
94912,98,504,891000.0,892000.0
94956,756,349,892000.0,893000.0
95005,556,393,891000.0,892000.0
95036,94,180,891000.0,892000.0
95049,124,191,891000.0,892000.0
95123,88,417,891000.0,892000.0
95207,407,279,891000.0,892000.0
95304,451,509,891000.0,892000.0
95305,470,503,891000.0,892000.0
95334,586,202,891000.0,892000.0
95411,606,235,891000.0,892000.0
95431,236,3539,890000.0,891000.0
95446,240,3602,890000.0,891000.0
95503,70,3688,890000.0,891000.0
95532,76,3724,890000.0,891000.0
95611,535,914,891000.0,892000.0
95707,558,1009,891000.0,892000.0
95742,528,1009,891000.0,892000.0
95807,555,932,891000.0,892000.0
95809,1009,500,891000.0,892000.0
95814,824,3862,890000.0,891000.0
95822,988,3788,890000.0,891000.0
95833,1451,3831,890000.0,891000.0
95834,1451,3831,890000.0,891000.0
95909,1374,3496,890000.0,891000.0
95922,1337,3576,890000.0,891000.0
95936,1431,3548,890000.0,891000.0
100039,227,3605,890000.0,891000.0
100052,46,3568,890000.0,891000.0
100134,330,405,891000.0,892000.0
100235,367,508,891000.0,892000.0
100306,335,582,891000.0,892000.0
100344,795,669,891000.0,892000.0
100350,795,746,891000.0,892000.0
100401,1254,310,891000.0,892000.0
100409,266,3445,890000.0,891000.0
100426,245,3422,890000.0,891000.0
100439,701,3581,890000.0,891000.0
100456,1217,3391,890000.0,891000.0
100519,1225,4084,890000.0,891000.0
100533,1337,4054,890000.0,891000.0
100557,1314,3878,890000.0,891000.0
100612,1323,3849,890000.0,891000.0
100621,331,3802,890000.0,891000.0
100623,301,3795,890000.0,891000.0
100634,290,3577,890000.0,891000.0
100645,290,4010,890000.0,891000.0
100702,266,3906,890000.0,891000.0
100709,268,3907,890000.0,891000.0
100729,225,3813,890000.0,891000.0
100737,108,3739,890000.0,891000.0
100800,120,314,891000.0,892000.0
100803,120,251,891000.0,892000.0
100840,102,363,891000.0,892000.0
100853,101,294,891000.0,892000.0
100950,72,686,891000.0,892000.0
101017,509,714,891000.0,892000.0
101023,993,692,891000.0,892000.0
101025,1094,637,891000.0,892000.0
101026,1094,637,891000.0,892000.0
101056,711,4197,890000.0,891000.0
101101,1340,8380,890000.0,891000.0
101104,670,3282,890000.0,891000.0
101105,670,3282,890000.0,891000.0
101106,1145,2369,890000.0,891000.0
101114,1149,2004,890000.0,891000.0
101123,2084,3892,890000.0,891000.0
101146,1063,1662,890000.0,891000.0
101147,1063,1208,890000.0,891000.0
101151,1664,716,890000.0,891000.0
101152,1664,716,890000.0,891000.0
101209,3082,3125,889000.0,890000.0
101210,3082,3125,889000.0,890000.0
101224,3128,2347,889000.0,890000.0
101225,6256,4694,889000.0,890000.0
101228,3227,1769,889000.0,890000.0
101230,2775,1326,889000.0,890000.0
101231,2775,1326,889000.0,890000.0
101232,1736,281,889000.0,890000.0
101246,612,4790,888000.0,889000.0
101255,543,4750,888000.0,889000.0
101257,540,4590,888000.0,889000.0
101258,540,4590,888000.0,889000.0
101309,466,4339,888000.0,889000.0
101316,273,4342,888000.0,889000.0
101320,682,256,889000.0,890000.0
101343,20,4333,888000.0,889000.0
101403,700,21,889000.0,890000.0
101413,669,25,889000.0,890000.0
101418,45,4068,888000.0,889000.0
101431,134,3996,888000.0,889000.0
101450,693,102,889000.0,890000.0
101519,672,592,889000.0,890000.0
101553,605,814,889000.0,890000.0
101622,847,1011,889000.0,890000.0
101634,788,923,889000.0,890000.0
101642,715,994,889000.0,890000.0
101655,1150,892,889000.0,890000.0
101710,1091,993,889000.0,890000.0
101723,1800,1010,889000.0,890000.0
101724,1800,1010,889000.0,890000.0
101725,1792,451,889000.0,890000.0
101726,1792,451,889000.0,890000.0
101748,867,5609,888000.0,889000.0
101849,827,5847,888000.0,889000.0
101909,705,5992,888000.0,889000.0
101927,662,6069,888000.0,889000.0
101942,638,6120,888000.0,889000.0
101950,674,6162,888000.0,889000.0
101953,343,6186,888000.0,889000.0
101954,343,6186,888000.0,889000.0
102000,739,113,889000.0,890000.0
102023,713,528,889000.0,890000.0
102028,726,448,889000.0,890000.0
102047,843,469,889000.0,890000.0
102050,756,329,889000.0,890000.0
102055,656,322,889000.0,890000.0
102101,577,162,889000.0,890000.0
102115,545,145,889000.0,890000.0
102147,959,283,889000.0,890000.0
102234,954,429,889000.0,890000.0
102318,872,750,889000.0,890000.0
102402,1439,1184,889000.0,890000.0
102435,1454,1413,889000.0,890000.0
102443,1437,2014,889000.0,890000.0
102451,1487,2051,889000.0,890000.0
102457,1476,1954,889000.0,890000.0
102508,1098,1394,889000.0,890000.0
102517,869,1387,889000.0,890000.0
102529,811,1340,889000.0,890000.0
102534,811,1262,889000.0,890000.0
102552,781,1304,889000.0,890000.0
102611,1440,3812,889000.0,890000.0
102613,1038,3814,889000.0,890000.0
102615,198,1539,889000.0,890000.0
102623,140,1374,889000.0,890000.0
102639,38,115,890000.0,891000.0
102705,54,164,890000.0,891000.0
102709,54,92,890000.0,891000.0
102713,24,53,890000.0,891000.0
102742,82,628,890000.0,891000.0
102748,91,497,890000.0,891000.0
102827,73,730,890000.0,891000.0
102850,104,662,890000.0,891000.0
102909,597,91,891000.0,892000.0
102935,748,296,891000.0,892000.0
102937,748,241,891000.0,892000.0
102955,684,419,891000.0,892000.0
103039,694,464,891000.0,892000.0
103104,746,533,891000.0,892000.0
103204,932,636,891000.0,892000.0
103211,117,639,891000.0,892000.0
103218,1336,50,892000.0,893000.0
103250,1425,239,892000.0,893000.0
103349,1525,481,892000.0,893000.0
103428,1509,445,892000.0,893000.0
103438,77,789,891000.0,892000.0
103444,119,319,891000.0,892000.0
103513,323,50,891000.0,892000.0
103546,827,43,891000.0,892000.0
103555,726,1345,890000.0,891000.0
103602,777,825,890000.0,891000.0
103623,808,470,890000.0,891000.0
103647,894,408,890000.0,891000.0
103717,320,470,890000.0,891000.0
103809,275,497,890000.0,891000.0
103850,258,559,890000.0,891000.0
103938,341,683,890000.0,891000.0
103952,336,620,890000.0,891000.0
104022,408,669,890000.0,891000.0
104043,434,547,890000.0,891000.0
104049,353,4101,889000.0,890000.0
104133,592,4102,889000.0,890000.0
104207,569,4109,889000.0,890000.0
104226,475,4088,889000.0,890000.0
104246,502,4045,889000.0,890000.0
104311,460,3935,889000.0,890000.0
104344,400,3996,889000.0,890000.0
104347,293,4019,889000.0,890000.0
104359,240,4029,889000.0,890000.0
104402,186,4029,889000.0,890000.0
104443,389,619,890000.0,891000.0
104535,452,848,890000.0,891000.0
104539,457,787,890000.0,891000.0
104602,335,1101,890000.0,891000.0
104604,335,1092,890000.0,891000.0
104625,235,808,890000.0,891000.0
104632,227,820,890000.0,891000.0
104639,477,4047,889000.0,890000.0
104642,1601,4090,889000.0,890000.0
104705,2326,3986,889000.0,890000.0
104714,2291,3896,889000.0,890000.0
104728,2395,3219,889000.0,890000.0
104738,5838,6388,889000.0,890000.0
104742,5560,5294,889000.0,890000.0
104752,2056,1967,889000.0,890000.0
104758,1864,1853,889000.0,890000.0
104759,1864,1853,889000.0,890000.0
104800,2317,1042,889000.0,890000.0
104804,2317,594,889000.0,890000.0
104805,2317,594,889000.0,890000.0
104832,1227,5160,888000.0,889000.0
104908,4042,5146,888000.0,889000.0
104935,4168,5059,888000.0,889000.0
105001,1858,5062,888000.0,889000.0
105003,1658,10152,888000.0,889000.0
105048,844,498,889000.0,890000.0
105102,772,466,889000.0,890000.0
105119,765,348,889000.0,890000.0
105126,764,346,889000.0,890000.0
105207,889,114,889000.0,890000.0
105218,824,216,889000.0,890000.0
105247,885,4388,888000.0,889000.0
105316,1392,4232,888000.0,889000.0
105326,1032,4119,888000.0,889000.0
105332,1035,4085,888000.0,889000.0
105344,1024,3833,888000.0,889000.0
105358,1056,3757,888000.0,889000.0
105410,1137,3679,888000.0,889000.0
105421,1153,3654,888000.0,889000.0
105448,1497,3522,888000.0,889000.0
105458,1391,3557,888000.0,889000.0
105504,1385,3647,888000.0,889000.0
105516,1343,3655,888000.0,889000.0
105535,1408,3603,888000.0,889000.0
105553,1504,3495,888000.0,889000.0
105617,1407,3551,888000.0,889000.0
105632,1325,3426,888000.0,889000.0
105641,1432,3396,888000.0,889000.0
105715,1473,3301,888000.0,889000.0
105750,1412,3458,888000.0,889000.0
105829,1365,3579,888000.0,889000.0
105849,1255,3603,888000.0,889000.0
105926,1337,4020,888000.0,889000.0
105928,1330,3958,888000.0,889000.0
105942,1331,4053,888000.0,889000.0
110011,1293,3813,888000.0,889000.0
110026,1986,3857,888000.0,889000.0
110038,3978,7702,888000.0,889000.0
110059,1654,3616,888000.0,889000.0
110111,1572,3600,888000.0,889000.0
110139,1581,3800,888000.0,889000.0
110149,1439,3692,888000.0,889000.0
110150,1409,3664,888000.0,889000.0
110226,1242,3323,888000.0,889000.0
110304,1243,3442,888000.0,889000.0
110314,922,3995,888000.0,889000.0
110316,934,3993,888000.0,889000.0
110339,832,4499,888000.0,889000.0
110405,824,4566,888000.0,889000.0
110418,697,4592,888000.0,889000.0
110432,579,4593,888000.0,889000.0
110436,446,4492,888000.0,889000.0
110444,129,4467,888000.0,889000.0
110448,606,42,889000.0,890000.0
110457,604,33,889000.0,890000.0
110502,604,4463,888000.0,890000.0
110504,604,4387,888000.0,890000.0
110506,620,4295,888000.0,890000.0
110507,1860,12447,888000.0,890000.0
110513,611,3659,888000.0,890000.0
110529,154,3365,888000.0,889000.0
110553,157,3976,888000.0,889000.0
110600,65,4039,888000.0,889000.0
110628,703,3967,888000.0,889000.0
110648,1513,3979,888000.0,889000.0
110746,1390,3941,888000.0,889000.0
110754,1401,3912,888000.0,889000.0
110832,1407,4079,888000.0,889000.0
110838,1197,4087,888000.0,889000.0
110852,639,4326,888000.0,889000.0
110902,649,4337,888000.0,889000.0
110929,432,4389,888000.0,889000.0
110953,1197,475,889000.0,890000.0
111057,1274,511,889000.0,890000.0
111133,1279,764,889000.0,890000.0
111152,734,773,889000.0,890000.0
111212,610,933,889000.0,890000.0
111232,596,1125,889000.0,890000.0
111256,506,1203,889000.0,890000.0
111333,486,1812,889000.0,890000.0
111353,631,51,890000.0,891000.0
111409,17,1514,889000.0,890000.0
111447,581,143,890000.0,891000.0
111552,715,438,890000.0,891000.0
111553,718,436,890000.0,891000.0
111608,385,1522,889000.0,890000.0
111626,971,1592,889000.0,890000.0
111641,1059,1033,889000.0,890000.0
111729,1044,1130,889000.0,890000.0
111813,1032,1122,889000.0,890000.0
111836,1076,1092,889000.0,890000.0
